Fonction,Label,Motif,Lieu,Pays,Dates,Annee 
Premier ministre,Jean-Pierre Raffarin,nc,Bordeaux,France,15/12/2002,2002
Premier ministre,Jean-Pierre Raffarin,2ème assise de la promotion des investissements internationaux au Futuroscope,Poitiers,France,20/12/2002,2002
Premier ministre,Jean-Pierre Raffarin,Déplacement privé ,Châtel-Guyon,France,24/12/2002,2002
Premier ministre,Jean-Pierre Raffarin,Déplacement privé,Cavalaire-sur-Mer,France,26/12/2002,2002
Premier ministre,Jean-Pierre Raffarin,nc,Dreux,France,10/01/2003,2003
Premier ministre,Jean-Pierre Raffarin,Déplacement « fonction publique » ,Arras,France,13/01/2003,2003
Premier ministre,Jean-Pierre Raffarin,Réunion du Mouvement des entreprises de France (MEDEF) ,Tours,France,14/01/2003,2003
Premier ministre,Jean-Pierre Raffarin,Visite officielle,Berlin,Allemagne,16/01/2003,2003
Premier ministre,Jean-Pierre Raffarin,Dîner colloque franco-britannique au Trianon Palace,Versailles,France,17/01/2003,2003
Président de la République,Jacques Chirac,nc,Berlin,Allemagne,23/01/2003,2003
Premier ministre,Jean-Pierre Raffarin,Assises des libertés locales en région Ile-de-France,Le Port-Marly,France,24/01/2003,2003
Premier ministre,Jean-Pierre Raffarin,Visite officielle,Angoulême,France,31/01/2003,2003
Premier ministre,Jean-Pierre Raffarin,Sommet franco-britannique,Le Touquet-Paris-Plage,France,04/02/2003,2003
Premier ministre,Jean-Pierre Raffarin,nc,Munich,Allemagne,05/02/2003,2003
Premier ministre,Jean-Pierre Raffarin,Visite officielle,New-Delhi,Inde,06/02/2003,2003
Premier ministre,Jean-Pierre Raffarin,Visite au centre de formation des apprentis de la chambre des métiers des Côtes-d'Armor,Saint-Brieuc,France,18/02/2003,2003
Président de la République,Jacques Chirac,Sommet informel européen,Bruxelles,Belgique,24/02/2003,2003
Premier ministre,Jean-Pierre Raffarin,Assises territoriales de la charte de l'environnement en Ile-de-France,Cergy-Pontoise,France,25/02/2003,2003
Premier ministre,Jean-Pierre Raffarin,Assises des libertés locales,Rouen,France,28/02/2003,2003
Président de la République,Jacques Chirac,nc,Alger,Algérie,02/03/2003,2003
Premier ministre,Jean-Pierre Raffarin,nc,Le Mans,France,03/03/2003,2003
Premier ministre,Jean-Pierre Raffarin,Réunion TGV et UMP,Poitiers,France,03/03/2003,2003
Premier ministre,Jean-Pierre Raffarin,Obsèques de Jean-Claude Morin,Poitiers,France,05/03/2003,2003
Premier ministre,Jean-Pierre Raffarin,Forum Europe,Avignon,France,07/03/2003,2003
Premier ministre,Jean-Pierre Raffarin,Congrès du Parlement,Versailles,France,17/03/2003,2003
Premier ministre,Jean-Pierre Raffarin,Présentation du projet de loi d'habilitation sur les simplifications administratives,Le Perreux-sur-Marne,France,19/03/2003,2003
Premier ministre,Jean-Pierre Raffarin,Réunion des Premiers ministres du PPE,Bruxelles,Belgique,20/03/2003,2003
Président de la République,Jacques Chirac,Conseil européen,Bruxelles,Belgique,20/03/2003,2003
Premier ministre,Jean-Pierre Raffarin,"Rencontre sur le thème « L'échange et les échanges, aspects philosophiques, économiques et sociologiques » ",Poitiers,France,28/03/2003,2003
Premier ministre,Jean-Pierre Raffarin,Visite à la foire des Hérolles,Coulonges-sur-l'Autize,France,29/03/2003,2003
Premier ministre,Jean-Pierre Raffarin,Parlement européen des jeunes,Le Puy-en-Velay,France,29/03/2003,2003
Premier ministre,Jean-Pierre Raffarin,nc,Troyes,France,04/04/2003,2003
Premier ministre,Jean-Pierre Raffarin,nc,Poitiers,France,05/04/2003,2003
Premier ministre,Jean-Pierre Raffarin,nc,Ajaccio,France,07/04/2003,2003
Président de la République,Jacques Chirac,Visite officielle,Saint-Pétersbourg,Russie,11/04/2003,2003
Premier ministre,Jean-Pierre Raffarin,Sommet européen ,Athènes,Grèce,15/04/2003,2003
Premier ministre,Jean-Pierre Raffarin,visite de l'état-major européen,Skopje,Macédoine-du-Nord,16/04/2003,2003
Premier ministre,Jean-Pierre Raffarin,Opération Saint-Denis en pointe au Stade de France,Saint-Denis,France,17/04/2003,2003
Premier ministre,Jean-Pierre Raffarin,Déplacement au Futuroscope,Poitiers,France,19/04/2003,2003
Premier ministre,Jean-Pierre Raffarin,nc,Bruxelles,Belgique,29/04/2003,2003
Président de la République,Jacques Chirac,Sommet sur la défense européenne,Bruxelles,Belgique,29/04/2003,2003
Président de la République,Jacques Chirac,"4ème sommet tripartite, triangle de Weimar",Wroclaw,Pologne,09/05/2003,2003
Premier ministre,Jean-Pierre Raffarin,nc,Strasbourg,France,14/05/2003,2003
Premier ministre,Jean-Pierre Raffarin,nc,Poitiers,France,16/05/2003,2003
Premier ministre,Jean-Pierre Raffarin,Forum Europe,Périgueux,France,16/05/2003,2003
Président de la République,Jacques Chirac,Célébration du tricentenaire de Saint-Pétersbourg ,Saint-Pétersbourg,Russie,30/05/2003,2003
Premier ministre,Jean-Pierre Raffarin,Finale de la coupe de France de football au Stade de France,Saint-Denis,France,31/05/2003,2003
Premier ministre,Jean-Pierre Raffarin,Commémoration du Débarquement,Rouen,France,06/06/2003,2003
Premier ministre,Jean-Pierre Raffarin,Réunion publique avec Nicolas Sarkozy,Asnières-sur-Seine,France,10/06/2003,2003
Premier ministre,Jean-Pierre Raffarin,Réunion nationale du MNEL,Nanterre,France,14/06/2003,2003
Premier ministre,Jean-Pierre Raffarin,Cérémonie au Mont-Valérien,Suresnes,France,18/06/2003,2003
Premier ministre,Jean-Pierre Raffarin,45ème salon aéronautique,Le Bourget,France,21/06/2003,2003
Premier ministre,Jean-Pierre Raffarin,nc,Ajaccio,France,21/06/2003,2003
Premier ministre,Jean-Pierre Raffarin,Vinexpo,Bordeaux,France,22/06/2003,2003
Premier ministre,Jean-Pierre Raffarin,nc,Berlin,Allemagne,26/06/2003,2003
Premier ministre,Jean-Pierre Raffarin,1ère rencontre de l'investissement international ,La Baule-Escoublac,France,27/06/2003,2003
Premier ministre,Jean-Pierre Raffarin,Visite de travail,Saint-Pétersbourg,Russie,28/06/2003,2003
Premier ministre,Jean-Pierre Raffarin,nc,Strasbourg,France,01/07/2003,2003
Premier ministre,Jean-Pierre Raffarin,Etape du Tour de France cycliste,Meaux,France,06/07/2003,2003
Premier ministre,Jean-Pierre Raffarin,nc,Luxembourg,Luxembourg,11/07/2003,2003
Premier ministre,Jean-Pierre Raffarin,nc,Epinal,France,17/07/2003,2003
Premier ministre,Jean-Pierre Raffarin,nc,Toulon,France,19/07/2003,2003
Président de la République,Jacques Chirac,nc,Kuala Lumpur,Malaisie,21/07/2003,2003
Premier ministre,Jean-Pierre Raffarin,nc,Rabat,Maroc,24/07/2003,2003
Premier ministre,Jean-Pierre Raffarin,nc,Angoulême,France,26/07/2003,2003
Premier ministre,Jean-Pierre Raffarin,nc,Combloux,France,06/08/2003,2003
Premier ministre,Jean-Pierre Raffarin,Cérémonie d'ouverture des 9èmes championnats du monde d'athlétisme au Stade de France,Saint-Denis,France,23/08/2003,2003
Premier ministre,Jean-Pierre Raffarin,Déjeuner avec le collège européen,Bruxelles,Belgique,27/08/2003,2003
Premier ministre,Jean-Pierre Raffarin,nc,Amiens,France,01/09/2003,2003
Président de la République,Jacques Chirac,nc,Dresde,Allemagne,04/09/2003,2003
Premier ministre,Jean-Pierre Raffarin,Séminaire à la Villa d'Este,Tivoli,Italie,05/09/2003,2003
Premier ministre,Jean-Pierre Raffarin,Université d'été de l'UMP ,Moliets-et-Maa,France,05/09/2003,2003
Premier ministre,Jean-Pierre Raffarin,Déplacement Education,Avrillé,France,08/09/2003,2003
Premier ministre,Jean-Pierre Raffarin,Séminaire intergouvernemental franco-britannique,Chequers,Royaume-Uni,11/09/2003,2003
Président de la République,Jacques Chirac,nc,Tolède,Espagne,11/09/2003,2003
Président de la République,Jacques Chirac,81èmes consultations franco-allemandes,Berlin,Allemagne,18/09/2003,2003
Premier ministre,Jean-Pierre Raffarin,Inauguration du monument des 1000 fusillés au Mont-Valérien,Suresnes,France,20/09/2003,2003
Président de la République,Jacques Chirac,nc,New-York,États-Unis,21/09/2003,2003
Premier ministre,Jean-Pierre Raffarin,Journées parlementaires de l'UMP,Nancy,France,22/09/2003,2003
Premier ministre,Jean-Pierre Raffarin,nc,Châtelaillon-Plage,France,27/09/2003,2003
Président de la République,Jacques Chirac,Conférence intergouvernementale,Rome,Italie,03/10/2003,2003
Premier ministre,Jean-Pierre Raffarin,nc,Moscou,Russie,05/10/2003,2003
Président de la République,Jacques Chirac,nc,Rabat,Maroc,09/10/2003,2003
Premier ministre,Jean-Pierre Raffarin,Déplacement « armée de terre »,Mourmelon-le-Grand,France,10/10/2003,2003
Premier ministre,Jean-Pierre Raffarin,Sommet du PPE,Bruxelles,Belgique,15/10/2003,2003
Président de la République,Jacques Chirac,Conseil européen,Bruxelles,Belgique,17/10/2003,2003
Premier ministre,Jean-Pierre Raffarin,Déplacement au Vatican,Vatican,Italie,18/10/2003,2003
Premier ministre,Jean-Pierre Raffarin,nc,Lisbonne,Portugal,02/11/2003,2003
Premier ministre,Jean-Pierre Raffarin,Sommet franco-espagnol,Carcassonne,France,06/11/2003,2003
Premier ministre,Jean-Pierre Raffarin,32ème congrès de la Confédération française de l'encadrement (CFE-CGC) ,Issy-les-Moulineaux,France,07/11/2003,2003
Premier ministre,Jean-Pierre Raffarin,nc,Saint-Nazaire,France,16/11/2003,2003
Premier ministre,Jean-Pierre Raffarin,Congrès de l'UMP au parc des expositions,Villepinte,France,28/11/2003,2003
Premier ministre,Jean-Pierre Raffarin,nc,Angoulême,France,29/11/2003,2003
Premier ministre,Jean-Pierre Raffarin,Visite ,Varsovie,Pologne,30/11/2003,2003
Président de la République,Jacques Chirac,Visite officielle et 1er sommet des chefs d'Etat et de gouvernement de la méditerranée occidentale,Tunis,Tunisie,03/12/2003,2003
Premier ministre,Jean-Pierre Raffarin,Séminaire franco-allemand,Nancy,France,05/12/2003,2003
Premier ministre,Jean-Pierre Raffarin,nc,Annecy,France,06/12/2003,2003
Premier ministre,Jean-Pierre Raffarin,Sommet mondial sur la société de l'information,Genève,Suisse,11/12/2003,2003
Président de la République,Jacques Chirac,Conseil européen,Bruxelles,Belgique,11/12/2003,2003
Premier ministre,Jean-Pierre Raffarin,nc,Toulon,France,19/12/2003,2003
Premier ministre,Jean-Pierre Raffarin,Grandes conférences catholiques,Bruxelles,Belgique,13/01/2004,2004
Premier ministre,Jean-Pierre Raffarin,Assemblée générale des maires de la Vienne au Futuroscope,Poitiers,France,24/01/2004,2004
Premier ministre,Jean-Pierre Raffarin,Visite des installations d'AIRBUS en compagnie du président de la République populaire de Chine ,Toulouse,France,29/01/2004,2004
Premier ministre,Jean-Pierre Raffarin,16ème congrès du PPE,Bruxelles,Belgique,05/02/2004,2004
Premier ministre,Jean-Pierre Raffarin,Palais des sports Louis Lauga,Bayonne,France,07/02/2004,2004
Premier ministre,Jean-Pierre Raffarin,nc,Lyon,France,09/02/2004,2004
Premier ministre,Jean-Pierre Raffarin,nc,Caen,France,13/02/2004,2004
Premier ministre,Jean-Pierre Raffarin,Convention nationale du PPE,Madrid,Espagne,15/02/2004,2004
Premier ministre,Jean-Pierre Raffarin,Séminaire germano-franco-britanique,Berlin,Allemagne,18/02/2004,2004
Président de la République,Jacques Chirac,nc,Budapest,Hongrie,23/02/2004,2004
Premier ministre,Jean-Pierre Raffarin,nc,Metz,France,28/02/2004,2004
Premier ministre,Jean-Pierre Raffarin,nc,Pithiviers,France,05/03/2004,2004
Premier ministre,Jean-Pierre Raffarin,nc,Besançon,France,09/03/2004,2004
Premier ministre,Jean-Pierre Raffarin,Réunion publique,Maisons-Alfort,France,10/03/2004,2004
Premier ministre,Jean-Pierre Raffarin,nc,Marseille,France,11/03/2004,2004
Premier ministre,Jean-Pierre Raffarin,nc,Madrid,Espagne,12/03/2004,2004
Premier ministre,Jean-Pierre Raffarin,Ouverture de la Convention des droits de l'homme,Genève,Suisse,15/03/2004,2004
Premier ministre,Jean-Pierre Raffarin,Rencontre avec l'équipe de France de rugby,Marcoussis,France,24/03/2004,2004
Premier ministre,Jean-Pierre Raffarin,nc,Limoges,France,25/03/2004,2004
Président de la République,Jacques Chirac,nc,Moscou,Russie,01/04/2004,2004
Premier ministre,Jean-Pierre Raffarin,Inauguration de l'espace commémoratif Charles de Gaulle,Roissy-en-Brie,France,23/04/2004,2004
Premier ministre,Jean-Pierre Raffarin,nc,Montargis,France,30/04/2004,2004
Premier ministre,Jean-Pierre Raffarin,Rencontre avec les ambassadeurs des pays membres de l'UE,Houjarray,France,03/05/2004,2004
Premier ministre,Jean-Pierre Raffarin,Inauguration de la chaîne d'assemblage AIRBUS A380,Toulouse,France,07/05/2004,2004
Premier ministre,Jean-Pierre Raffarin,Visite de l'Ecole polytechnique,Palaiseau,France,14/05/2004,2004
Premier ministre,Jean-Pierre Raffarin,83ème foire internationale,Bordeaux,France,15/05/2004,2004
Premier ministre,Jean-Pierre Raffarin,Congrès annuel de l'union nationale des associations de parents et amis de personnes handicapées mentales,Lyon,France,15/05/2004,2004
Premier ministre,Jean-Pierre Raffarin,Finale de l'UEFA ,Göteborg,Suède,19/05/2004,2004
Premier ministre,Jean-Pierre Raffarin,Déplacement privé,Les Baux-de-Provence,France,20/05/2004,2004
Premier ministre,Jean-Pierre Raffarin,nc,Dublin,Irlande,24/05/2004,2004
Premier ministre,Jean-Pierre Raffarin,Forum mondial des investissements ,Saint-Nazaire,France,27/05/2004,2004
Premier ministre,Jean-Pierre Raffarin,Visite du chantier du viaduc de Millau,Millau,France,28/05/2004,2004
Premier ministre,Jean-Pierre Raffarin,nc,Poitiers,France,04/06/2004,2004
Premier ministre,Jean-Pierre Raffarin,Visite de l'Ecole supérieure des sciences économiques et commerciales (ESSEC),Cergy-Pontoise,France,09/06/2004,2004
Premier ministre,Jean-Pierre Raffarin,Cérémonies du 60ème anniversaire du martyr d'Oradour-sur-Glane,Oradour-sur-Glane,France,10/06/2004,2004
Premier ministre,Jean-Pierre Raffarin,Sommet du PPE,Bruxelles,Belgique,17/06/2004,2004
Premier ministre,Jean-Pierre Raffarin,nc,Poitiers,France,18/06/2004,2004
Premier ministre,Jean-Pierre Raffarin,Cérémonies du 18 juin au Mont-Valérien,Suresnes,France,18/06/2004,2004
Premier ministre,Jean-Pierre Raffarin,nc,Poitiers,France,25/06/2004,2004
Premier ministre,Jean-Pierre Raffarin,nc,Berlin,Allemagne,01/07/2004,2004
Premier ministre,Jean-Pierre Raffarin,Dîner de clôture de l'année de la Chine en France à l'Orangerie,Versailles,France,02/07/2004,2004
Premier ministre,Jean-Pierre Raffarin,nc,Bordeaux,France,12/07/2004,2004
Premier ministre,Jean-Pierre Raffarin,nc,Vannes,France,19/07/2004,2004
Premier ministre,Jean-Pierre Raffarin,Hommage aux combattants du maquis du Vercors,Vassieux-en-Vercors,France,21/07/2004,2004
Premier ministre,Jean-Pierre Raffarin,nc,Poitiers,France,23/07/2004,2004
Premier ministre,Jean-Pierre Raffarin,nc,Combloux,France,01/08/2004,2004
Premier ministre,Jean-Pierre Raffarin,nc,Poitiers,France,15/08/2004,2004
Premier ministre,Jean-Pierre Raffarin,Commémoration du débarquement en Provence,Toulon,France,15/08/2004,2004
Premier ministre,Jean-Pierre Raffarin,nc,Poitiers,France,20/08/2004,2004
Premier ministre,Jean-Pierre Raffarin,nc,Poitiers,France,28/08/2004,2004
Premier ministre,Jean-Pierre Raffarin,Université d'été des jeunes de l'UMP,Avoriaz,France,05/09/2004,2004
Premier ministre,Jean-Pierre Raffarin,Visite d'une usine de bio-carburants ,Venette,France,07/09/2004,2004
Premier ministre,Jean-Pierre Raffarin,nc,Poitiers,France,10/09/2004,2004
Premier ministre,Jean-Pierre Raffarin,nc,Poitiers,France,17/09/2004,2004
Premier ministre,Jean-Pierre Raffarin,nc,Poitiers,France,23/09/2004,2004
Premier ministre,Jean-Pierre Raffarin,Journée parlementaire UMP/Assemblée nationale,Argenteuil,France,28/09/2004,2004
Premier ministre,Jean-Pierre Raffarin,Arrivée de l'équipe paralympique,Orly,France,29/09/2004,2004
Premier ministre,Jean-Pierre Raffarin,nc,Le Puy-en-Velay,France,08/10/2004,2004
Premier ministre,Jean-Pierre Raffarin,Visite au sommet de l'élevage ,Clermont-Ferrand,France,08/10/2004,2004
Premier ministre,Jean-Pierre Raffarin,Commission européenne,Bruxelles,Belgique,14/10/2004,2004
Premier ministre,Jean-Pierre Raffarin,nc,Bucarest,Roumanie,17/10/2004,2004
Premier ministre,Jean-Pierre Raffarin,4ème conseil des ministres franco-allemand,Berlin,Allemagne,26/10/2004,2004
Premier ministre,Jean-Pierre Raffarin,Cérémonie de signature du traité établissant une constitution pour l'Europe,Rome,Italie,29/10/2004,2004
Premier ministre,Jean-Pierre Raffarin,Sommet du PPE à Bruxelles,Bruxelles,Belgique,04/11/2004,2004
Premier ministre,Jean-Pierre Raffarin,nc,Ajaccio,France,05/11/2004,2004
Premier ministre,Jean-Pierre Raffarin,nc,Jouy-en-Josas,France,09/11/2004,2004
Premier ministre,Jean-Pierre Raffarin,Congrès du Parti radical (PR),Saint-Étienne,France,14/11/2004,2004
