Fonction,Individu,Motif,Lieu,Departement/region,Pays,Dates,Annee 
Premier ministre,Jean-Pierre Raffarin,Assises des libertés locales en région Ile-de-France,Le Port-Marly,Yvelines,France,24/01/2003,2003
Premier ministre,Jean-Pierre Raffarin,Visite officielle,Angoulême,Charente ,France,31/01/2003,2003
Premier ministre,Jean-Pierre Raffarin,Sommet franco-britannique,Le Touquet-Paris-Plage,Pas-de-Calais ,France,04/02/2003,2003
Premier ministre,Jean-Pierre Raffarin,nc,Munich,nc,Allemagne,05/02/2003,2003
Premier ministre,Jean-Pierre Raffarin,Visite officielle,New-Delhi,nc,Inde,06/02/2003,2003
Premier ministre,Jean-Pierre Raffarin,Visite au centre de formation des apprentis de la chambre des métiers des Côtes-d'Armor,Saint-Brieuc,Cotes-d'Armor ,France,18/02/2003,2003
Premier ministre,Jean-Pierre Raffarin,Assises territoriales de la charte de l'environnement en Ile-de-France,Cergy-Pontoise,Val-d'Oise ,France,25/02/2003,2003
Premier ministre,Jean-Pierre Raffarin,Assises des libertés locales,Rouen,Seine-Maritime ,France,28/02/2003,2003
Premier ministre,Jean-Pierre Raffarin,nc,Le Mans,Sarthe ,France,03/03/2003,2003
Premier ministre,Jean-Pierre Raffarin,Réunion TGV et UMP,Poitiers,Vienne ,France,03/03/2003,2003
Premier ministre,Jean-Pierre Raffarin,Obsèques de Jean-Claude Morin,Poitiers,Vienne,France,05/03/2003,2003
Premier ministre,Jean-Pierre Raffarin,Forum Europe,Avignon,Vaucluse ,France,07/03/2003,2003
Premier ministre,Jean-Pierre Raffarin,Congrès du Parlement,Versailles,Yvelines ,France,17/03/2003,2003
Premier ministre,Jean-Pierre Raffarin,Présentation du projet de loi d'habilitation sur les simplifications administratives,Le Perreux-sur-Marne,Val-de-Marne ,France,19/03/2003,2003
Premier ministre,Jean-Pierre Raffarin,Réunion des Premiers ministres du PPE,Bruxelles,nc,Belgique,20/03/2003,2003
Premier ministre,Jean-Pierre Raffarin,"Rencontre sur le thème « L'échange et les échanges, aspects philosophiques, économiques et sociologiques » ",Poitiers,Vienne ,France,28/03/2003,2003
Premier ministre,Jean-Pierre Raffarin,Visite à la foire des Hérolles,Coulonges-sur-l'Autize,Deux-Sevres ,France,29/03/2003,2003
