Fonction,Individu,Motif,Lieu,Departement/region,Pays,Dates,Annee 
Premier ministre,Jean-Pierre Raffarin,Visite officielle ,Québec,nc,Canada,02/11/2005,2005
Premier ministre,Jean-Pierre Raffarin,50ème anniversaire de l'indépendance du Maroc,Rabat,nc,Maroc,16/11/2005,2005
Premier ministre,Jean-Pierre Raffarin,nc,Meaux,Seine-et-Marne ,France,25/11/2005,2005
Premier ministre,Jean-Pierre Raffarin,nc,Amiens,Somme ,France,02/12/2005,2005
Premier ministre,Jean-Pierre Raffarin,nc,Angers,Maine-et-Loire ,France,16/12/2005,2005
Premier ministre,Dominique de Villepin,nc,Flamanville,Manche ,France,07/01/2005,2005
Premier ministre,Dominique de Villepin,nc,Izieu,Ain ,France,24/01/2005,2005
Premier ministre,Dominique de Villepin,Réunion du Congrès,Versailles,Yvelines,France,28/02/2005,2005
Premier ministre,Dominique de Villepin,Sommet franco-polonais ,Arras,Pas-de-Calais ,France,28/02/2005,2005
Premier ministre,Dominique de Villepin,nc,Israël,nc,Israël,15/03/2005,2005
Premier ministre,Dominique de Villepin,Inauguration du parcours théâtral dans le noir au Futuroscope ,Poitiers,Vienne,France,18/03/2005,2005
Premier ministre,Dominique de Villepin,nc,Lyon,Rhone ,France,30/03/2005,2005
Premier ministre,Dominique de Villepin,nc,Chambéry,Savoie ,France,15/04/2005,2005
Premier ministre,Dominique de Villepin,nc,Annecy,Haute-Savoie ,France,15/04/2005,2005
Premier ministre,Dominique de Villepin,60ème anniversaire de la libération de la poche de Royan,Royan,Charente-Maritime ,France,16/04/2005,2005
Premier ministre,Dominique de Villepin,nc,Amiens,Somme ,France,27/04/2005,2005
Premier ministre,Dominique de Villepin,60ème anniversaire de la signature de la capitulation des armées du IIIe Reich,Reims,Marne ,France,07/05/2005,2005
Premier ministre,Dominique de Villepin,Réunion publique,Épinal,Vosges ,France,20/05/2005,2005
Premier ministre,Dominique de Villepin,Pique-nique de l'UMP,Cergy-Pontoise,Val-d'Oise ,France,21/05/2005,2005
Premier ministre,Dominique de Villepin,nc,Tours,Indre-et-Loire,France,26/05/2005,2005
Premier ministre,Dominique de Villepin,Célébration du 65ème anniversaire de l'appel du 18 juin 1940 au Mont-Valérien,Suresnes,Hauts-de-Seine ,France,18/06/2005,2005
Premier ministre,Dominique de Villepin,Déplacement privé,Aix-en-Provence,Bouches-du-Rhone ,France,10/08/2005,2005
Premier ministre,Dominique de Villepin,nc,Rennes,Ille-et-Vilaine ,France,13/09/2005,2005
Premier ministre,Dominique de Villepin,nc,Oyonnax,Ain ,France,23/09/2005,2005
Premier ministre,Dominique de Villepin,nc,Montry,Seine-et-Marne ,France,30/09/2005,2005
Premier ministre,Dominique de Villepin,Inauguration de l'autoroute A 28,Alençon,Orne ,France,21/10/2005,2005
Premier ministre,Dominique de Villepin,Séance plénière du conseil national des missions locales (CNML) ,Saint-Denis,Seine-Saint-Denis ,France,15/12/2005,2005
Premier ministre,Dominique de Villepin,Cérémonie des vœux aux corps constitués,Metz,Moselle ,France,06/01/2006,2006
Premier ministre,Dominique de Villepin,nc,Berlin,nc,Allemagne,18/01/2006,2006
Premier ministre,Dominique de Villepin,nc,Salzbourg,nc,Autriche,26/01/2006,2006
Premier ministre,Dominique de Villepin,nc,Troyes,Aube,France,03/02/2006,2006
Premier ministre,Dominique de Villepin,nc,Bourg-en-Bresse,Ain ,France,22/02/2006,2006
Premier ministre,Dominique de Villepin,nc,Lyon,Rhone,France,24/02/2006,2006
Premier ministre,Dominique de Villepin,nc,Madrid,nc,Espagne,13/03/2006,2006
Premier ministre,Dominique de Villepin,nc,Chamonix-Mont-Blanc,Haute-Savoie ,France,21/04/2006,2006
Premier ministre,Dominique de Villepin,nc,Londres,nc,Royaume-Uni,10/05/2006,2006
Premier ministre,Dominique de Villepin,nc,Bordeaux,Gironde ,France,23/05/2006,2006
Premier ministre,Dominique de Villepin,nc,Combs-la-Ville,Seine-et-Marne ,France,29/05/2006,2006
Premier ministre,Dominique de Villepin,nc,Chartres,Eure-et-Loir ,France,01/06/2006,2006
Premier ministre,Dominique de Villepin,Visite de travail ,Helsinki,nc,Finlande,04/06/2006,2006
Premier ministre,Dominique de Villepin,nc,Limoges,Haute-Vienne ,France,09/06/2006,2006
Premier ministre,Dominique de Villepin,nc,Aix-en-Provence,Bouches-du-Rhone ,France,09/06/2006,2006
Premier ministre,Dominique de Villepin,nc,Stuttgart,nc,Allemagne,13/06/2006,2006
Premier ministre,Dominique de Villepin,nc,Mourmelon-le-Grand,Marne ,France,15/06/2006,2006
Premier ministre,Dominique de Villepin,nc,Mont-Saint-Michel ,Manche ,France,16/06/2006,2006
Premier ministre,Dominique de Villepin,nc,Mende,Lozere ,France,23/06/2006,2006
Premier ministre,Dominique de Villepin,nc,Saint-Dizier,Haute-Marne ,France,27/06/2006,2006
Premier ministre,Dominique de Villepin,nc,Quimper,Finistere ,France,19/07/2006,2006
Premier ministre,Dominique de Villepin,nc,Evreux,Eure ,France,25/07/2006,2006
Premier ministre,Dominique de Villepin,nc,Mantes-la-Jolie,Yvelines ,France,31/07/2006,2006
Premier ministre,Dominique de Villepin,Séjour privé ,La Bastide-des-Jourdans,Vaucluse ,France,13/08/2006,2006
Premier ministre,Dominique de Villepin,nc,Rome,nc,Italie,01/09/2006,2006
Premier ministre,Dominique de Villepin,nc,Thionville,Moselle ,France,08/09/2006,2006
Premier ministre,Dominique de Villepin,nc,Montlhéry,Essonne ,France,13/09/2006,2006
Premier ministre,Dominique de Villepin,nc,Amiens,Somme ,France,14/09/2006,2006
Premier ministre,Dominique de Villepin,nc,Nice,Alpes-Maritimes ,France,21/09/2006,2006
Premier ministre,Dominique de Villepin,10ème forum international de la fondation Bertelsmann sur le thème de l'intégration européenne ,Berlin,nc,Allemagne,22/09/2006,2006
Premier ministre,Dominique de Villepin,nc,Montargis,Loiret ,France,27/09/2006,2006
Premier ministre,Dominique de Villepin,nc,Cayenne,Guyane ,France,11/10/2006,2006
Premier ministre,Dominique de Villepin,nc,Caen,Calvados ,France,17/10/2006,2006
Premier ministre,Dominique de Villepin,nc,Budapest,nc,Hongrie,22/10/2006,2006
Premier ministre,Dominique de Villepin,nc,Cergy-Pontoise,Val-d'Oise ,France,26/10/2006,2006
Premier ministre,Dominique de Villepin,Pose de la première pierre du mémorial Charles de Gaulle,Colombey-les-Deux-Églises,Haute-Marne ,France,09/11/2006,2006
Premier ministre,Dominique de Villepin,nc,Vesoul,Haute-Saone ,France,10/11/2006,2006
Premier ministre,Dominique de Villepin,nc,Toulouse,Haute-Garonne ,France,14/11/2006,2006
Premier ministre,Dominique de Villepin,nc,Bobigny,Seine-Saint-Denis ,France,29/11/2006,2006
Premier ministre,Dominique de Villepin,nc,Montpellier,Herault ,France,08/12/2006,2006
Premier ministre,Dominique de Villepin,Visite d'une crèche,Rungis,Val-de-Marne ,France,19/12/2006,2006
Premier ministre,Dominique de Villepin,nc,Londres,nc,Royaume-Uni,17/01/2007,2007
Premier ministre,Dominique de Villepin,Réunion du Parlement en Congrès ,Versailles,Yvelines ,France,19/02/2007,2007
